coverage,method,metric,n_seeds,median,p5,p95,mean,std
0.1,FinaleMe-style HMM,pearson,20,0.19058424572846805,0.15587543355137412,0.24181548364795524,0.1956776598435318,0.032215076613871886
0.1,FinaleMe-style HMM,rmse,20,0.346344687164968,0.31130490565166496,0.3831855231305843,0.34480307224597845,0.025807011919658594
0.1,FinaleMe-style HMM,mae,20,0.3122536502430617,0.2737133624732511,0.35146691097475596,0.3102583243449266,0.02843081088470647
0.1,FinaleMe-style HMM,coverage_90,20,0.7273333333333334,0.5856666666666667,0.8316333333333333,0.7179666666666666,0.08811435286766027
0.1,FinaleMe-style HMM,mean_width,20,0.8178255277328805,0.8088430213796312,0.8280171560572205,0.8181762740769847,0.00657457186223215
0.1,FinaleMe-style HMM,pearson_cpgpoor,20,0.22618831162512312,0.1405571408260245,0.2821300122634874,0.21587254589884805,0.05300651327240163
0.1,HAVI-Methyl simplified,pearson,20,0.3574901881686453,0.24633681281178402,0.44422857972908053,0.3580608540977909,0.0628145055849458
0.1,HAVI-Methyl simplified,rmse,20,0.3333456342235213,0.2993074835150618,0.37724893315449026,0.33311782717043104,0.02710342517985064
0.1,HAVI-Methyl simplified,mae,20,0.3037304299416316,0.2671523797305353,0.3524990646964191,0.30432896606643833,0.03092919878160352
0.1,HAVI-Methyl simplified,coverage_90,20,0.3358333333333333,0.21197222222222223,0.452625,0.33584722222222213,0.0893445227983287
0.1,HAVI-Methyl simplified,mean_width,20,0.5114190617324348,0.5098425859228842,0.512580248710138,0.511316127822338,0.0009922534409113428
0.1,HAVI-Methyl simplified,pearson_cpgpoor,20,0.42103553117264864,0.27185443808596044,0.5038408021150513,0.3924573861402266,0.09865230212717488
1.0,FinaleMe-style HMM,pearson,20,0.5197434160120092,0.4384328002965277,0.5892987644004573,0.5202063768554408,0.05072587766721986
1.0,FinaleMe-style HMM,rmse,20,0.3135602892184661,0.2991843981925907,0.3221254337699219,0.31247642074389625,0.010941456075905943
1.0,FinaleMe-style HMM,mae,20,0.249657956753184,0.23645465934747398,0.26542802203541965,0.2501192180441569,0.012103979837952148
1.0,FinaleMe-style HMM,coverage_90,20,0.4246666666666667,0.35550000000000004,0.48683333333333334,0.4161,0.0459260911460274
1.0,FinaleMe-style HMM,mean_width,20,0.4149120473267094,0.3971044069497411,0.4255082155181398,0.4136822854998945,0.010305621344607812
1.0,FinaleMe-style HMM,pearson_cpgpoor,20,0.5476654566189495,0.11197365304856427,0.6683236778458194,0.446766720491946,0.2146352487347715
1.0,HAVI-Methyl simplified,pearson,20,0.7902917121960871,0.6907796557316755,0.8293060983605738,0.7755669450852212,0.05053271845547759
1.0,HAVI-Methyl simplified,rmse,20,0.22774217287722953,0.20512513410872535,0.2510582062827847,0.22933958802831653,0.021004315068302755
1.0,HAVI-Methyl simplified,mae,20,0.19839521904335755,0.17223435138204876,0.22351495435074475,0.1983118731353053,0.02227899442168829
1.0,HAVI-Methyl simplified,coverage_90,20,0.5773611111111111,0.4764305555555555,0.7013611111111111,0.5759722222222221,0.09114108139938033
1.0,HAVI-Methyl simplified,mean_width,20,0.4402237613143082,0.4268780078061908,0.45236317719759433,0.4397902510048216,0.008179502455507035
1.0,HAVI-Methyl simplified,pearson_cpgpoor,20,0.8062950798813345,0.1947053248341661,0.8838762251493578,0.6548730990078274,0.26665632003873424
5.0,FinaleMe-style HMM,pearson,20,0.826471660928479,0.7651958499457274,0.893131458711604,0.825508286904971,0.05135255162837411
5.0,FinaleMe-style HMM,rmse,20,0.1922242342370405,0.17626311083057514,0.26775131553036435,0.19902702085682905,0.02731810659912357
5.0,FinaleMe-style HMM,mae,20,0.14801357562149314,0.1324857087275165,0.23103240482541076,0.15583386831168736,0.029895353833472506
5.0,FinaleMe-style HMM,coverage_90,20,0.4973333333333333,0.221,0.6187,0.4854333333333334,0.12661111893746338
5.0,FinaleMe-style HMM,mean_width,20,0.30099532879050606,0.2630552449129681,0.361483024546515,0.3062221170641084,0.032820388157801944
5.0,FinaleMe-style HMM,pearson_cpgpoor,20,0.8581663681048868,0.5979987283682188,0.9406150367367451,0.8092085651267148,0.16965585649801038
5.0,HAVI-Methyl simplified,pearson,20,0.900619277150447,0.8485106897919237,0.9471665241170972,0.8984427921871398,0.037750121367730795
5.0,HAVI-Methyl simplified,rmse,20,0.15765191761237707,0.14146731749333596,0.24746498289862376,0.1674503568038972,0.032786290388475976
5.0,HAVI-Methyl simplified,mae,20,0.1303158200569495,0.11376340117254156,0.21887345956278606,0.13996328049751505,0.03264465124220145
5.0,HAVI-Methyl simplified,coverage_90,20,0.5409722222222222,0.24705555555555556,0.6425833333333333,0.51475,0.12029987101764324
5.0,HAVI-Methyl simplified,mean_width,20,0.2694616758162548,0.25047961946589026,0.2873893221648988,0.26834589600143827,0.012657821958164133
5.0,HAVI-Methyl simplified,pearson_cpgpoor,20,0.9224232428826158,0.7068876197622794,0.9724310481980739,0.8739803889243168,0.15693018772758568
30.0,FinaleMe-style HMM,pearson,20,0.9697031495278359,0.9488835518370368,0.9824646943390536,0.9671788110614088,0.011611887305079588
30.0,FinaleMe-style HMM,rmse,20,0.11797580195942414,0.10019207773324,0.18862533564987055,0.1302512128808499,0.0297152401775843
30.0,FinaleMe-style HMM,mae,20,0.10215551498319658,0.08616316116187218,0.1678165729374656,0.11322990632449881,0.028012664820828852
30.0,FinaleMe-style HMM,coverage_90,20,0.3893333333333333,0.19086666666666666,0.5407000000000001,0.3725333333333333,0.12931589681702185
30.0,FinaleMe-style HMM,mean_width,20,0.17024778365157406,0.14805568689709314,0.18633138830947946,0.16757501374788958,0.014897991238657324
30.0,FinaleMe-style HMM,pearson_cpgpoor,20,0.9744211266720367,0.5252312759182532,0.9908072161802258,0.8880533030338318,0.1800747591389511
30.0,HAVI-Methyl simplified,pearson,20,0.9731934340252346,0.9525439850556909,0.9835744589952541,0.9703011688748127,0.010659392541578858
30.0,HAVI-Methyl simplified,rmse,20,0.11824995370349003,0.09877614572288936,0.19147424246801445,0.13033438785986087,0.030692601547865295
30.0,HAVI-Methyl simplified,mae,20,0.1030480063094259,0.08485059281223598,0.1716099614252794,0.11411619462253393,0.029121596954606806
30.0,HAVI-Methyl simplified,coverage_90,20,0.2768055555555556,0.13377777777777777,0.3849027777777778,0.2670416666666667,0.09304537672356232
30.0,HAVI-Methyl simplified,mean_width,20,0.12734986941809923,0.11845639674404154,0.13256715659475465,0.12639984887240588,0.004775574309817557
30.0,HAVI-Methyl simplified,pearson_cpgpoor,20,0.9771344385574359,0.5442615151730098,0.9920875909674429,0.8939405432185801,0.1733156452930081
